Value Set Code,Value,Start Date,End Date,Summary Flag,Enabled Flag,Account Type,Allow Posting Flag,Allow Budgeting Flag,Third Party Control Account,Reconcile Flag,Financial Category,Description  US,Description  AR,Description CS,Description DDescription DK,Description E,Description EL,Description ESA,Description F,Description FRC,Description HR,Description HU,Description I,Description IS,Description IW,Description JA,Description KO,Description NL,Description LT,Description PL,Description PT,Description PTB,Description N,Description RO,Description RU,Description S,Description SF,Description SK,Description SL,Description TH,Description TR,Description ZHS,Description ZHT,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37,Attribute38,Attribute39,Attribute40,Attribute41,Attribute42,Attribute43,Attribute44,Attribute45,Attribute46,Attribute47,Attribute48,Attribute49,Attribute50,Data Source,Description UK,Description ET,Description LV,Description VN,Is Validated
DEMO RMN VALUE SET,128,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Other cash payments relating to financing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,129,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash received from investments by others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,130,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash received from borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,131,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Other proceeds relating to financing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,132,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Effect of Foreign Exchange Rate Changes on Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,133,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Unapplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,134,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Miscellaneous Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,135,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,136,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Tài sản ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,137,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,YURTİÇİ SATIŞLAR-SHOPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,138,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N TĐ ML-CN   Bình Dương (ML Group-Binh Duong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,139,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,chào bạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,140,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Tài sản ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,141,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,YURTİÇİ SATIŞLAR-SHOPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,142,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N TĐ ML-CN   Bình Dương (ML Group-Binh Duong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,143,01-01-2001,01-01-2016,N,Y,,N,Y,N,N,,chào bạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,144,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash received from investments by others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,145,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash received from borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,146,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Unapplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,147,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Miscellaneous Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,148,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,CFS_Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,149,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,YURTİÇİ SATIŞLAR-SHOPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,150,01-01-2001,01-01-2016,N,Y,,N,Y,N,N TĐ ML-CN   Bình Dương (ML Group-Binh Duong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,151,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,chào bạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1000,01-01-2001,01-01-2016,Y,Y,,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1001,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1002,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1003,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1004,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1005,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1006,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1007,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1008,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1009,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1010,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1011,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1012,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1013,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1014,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1015,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1016,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1017,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1018,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1019,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1020,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1021,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1022,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1023,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1024,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1025,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1026,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1027,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1028,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1029,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1030,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1031,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1032,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1033,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1034,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1035,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1036,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1037,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1038,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1039,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1040,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1041,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1042,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1043,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1044,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1045,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1046,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,1047,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
