Value Set Code,Tree Code,Tree Version Name,Tree Version Start Date,Tree Version End Date,Parent30,Parent29,Parent28,Parent27,Parent26,Parent25,Parent24,Parent23,Parent22,Parent21,Parent20,Parent19,Parent18,Parent17,Parent16,Parent15,Parent14,Parent13,Parent12,Parent11,Parent10,Parent9,Parent8,Parent7,Parent6,Parent5,Parent4,Parent3,Parent2,Parent1,Value,Label Short Name
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1021,None,31,,19, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1022,None,31,,20, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1023,None,31,,21, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1024,None,31,,22, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1025,None,31,,23, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1026,None,31,,24, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1027,None,31,,25, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1028,None,31,,26, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1029,None,31,,27, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1030,None,31,,28, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1031,None,31,,29, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1032,None,31,,30, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1033,None,31,,31, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1034,None,31,,32, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1035,None,31,,33, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1036,None,31,,34, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1037,None,31,,35, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1038,None,31,,36, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1039,None,31,,37, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1040,None,31,,38, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1041,None,31,,39, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1042,None,31,,40, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1043,None,31,,41, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1044,None,31,,42, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1045,None,31,,43, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1046,None,31,,44, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1047,None,31,,45, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1048,None,31,,46, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1049,None,31,,47, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1050,None,31,,48, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1051,None,31,,49, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1052,None,31,,50, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1053,None,31,,51, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1054,None,31,,52, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1055,None,31,,53, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1056,None,31,,54, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1057,None,31,,55, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1058,None,31,,56, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1059,None,31,,57, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1060,None,31,,58, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1061,None,31,,59, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1062,None,31,,60, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1063,None,31,,61, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1064,None,31,,62, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1065,None,31,,63, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1066,None,31,,64, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1067,None,31,,65, ,,,,,,,,,,,,,,,,,,,,,,,,,,
